"","Country.Name","Reserves"
"1","Australia","51048086920"
"2","Austria","11653251921"
"3","Belgium","17486655859"
"4","Canada","83925602808"
"5","Switzerland","7,44167E+11"
"6","Chile","39848699140"
"7","Germany","59173100675"
"8","Spain","59030411978"
"9","Finland","8284157187"
"10","France","66103290547"
"11","United Kingdom","1,59872E+11"
"12","Greece","2918421299"
"13","India","3,74425E+11"
"14","Ireland","4975323463"
"15","Italy","51330748572"
"16","Japan","1,23894E+12"
"17","Korea","3,9878E+11"
"18","Netherlands","13194707105"
"19","Portugal","9158607287"
"20","Singapore","2,87466E+11"
"21","Sweden","55385715101"
"22","Turkey","72866830470"
"23","United States","1,14757E+11"
